Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G13,FDA Veterinary Recalls,Event ID #70877 - Class I - Veterinary - 5Cs Drying LLC,"The firm was notified by their customer that the product test positive for Salmonella.;; 5C's DRYING LLC Cranberry Pomace, 1700 lbs plastic bag, Manufactured by 5C's Drying, LLC 09960 Rosedale Rd. Hicksville, Ohio 43526",2016-01-22,2016-01-22,1,https://datadashboard.fda.gov/ora/cd/recalls.htm,2022-02-20
G13,FDA Veterinary Recalls,"Event ID #73116 - Class II - Veterinary - Abbott's Compounding Pharmacy, Inc.","Firm is recalling all unexpired lots of sterile compounded products after FDA inspection found concerns of lack of sterility assurance.;; Cyclosporine 1%, 10 ml;  store at room temperature, Cyclosporine 2%, 15 ml;  store at room temperature, prednisolone acetate, 25 mg/ml, 40 ml unit size;
store at room temperature",2016-08-17,2016-08-17,3,https://datadashboard.fda.gov/ora/cd/recalls.htm,2022-02-20
G13,FDA Veterinary Recalls,Event ID #64757 - Class III - Veterinary - Abbott Animal Health,"Canadian labeled Isoflurane was shipped to US customers.;; Isoflo; Isoflurane, USP; Nonflammable, Nonexplosive; Inhalation Anesthetic; 250 mL; For Use in Horses and Dogs; packaged in amber bottles; Product expires 8/23/14",2013-05-21,2013-05-21,1,https://datadashboard.fda.gov/ora/cd/recalls.htm,2022-02-20
G13,FDA Veterinary Recalls,Event ID #67091 - Class II - Veterinary - Abbott Laboratories,"Abbott Animal Health is voluntarily recalling the ten lots of OroCAM (meloxicam) Transmucosal Oral Spray for Dogs due to the possibility that some animals could receive an incorrect dose during administration. A limited number of units from lots FEBU-2 and FEBU-3 were found to contain incorrect pumps.;; OroCAM is supplied in three glass vial sizes containing 6 mL, 11 mL and 33 mL of meloxicam. Each vial has a different metered dose pump delivering a dose of 0.25 mg, 0.50 mg, or 1.075 mg, per spray, respectively. Manufactured for Abbott Laboratories; North Chicago, IL 60064 USA; Product of Spain",2014-01-24,2014-01-24,1,https://datadashboard.fda.gov/ora/cd/recalls.htm,2022-02-20
G13,FDA Veterinary Recalls,Event ID #67113 - Class II - Veterinary - Abbott Laboratories,"Some particles were observed in a limited number of OroCAM units. The particles if present could clog the pump mechanism and could also potentially result in under-administration.;; OroCAM is supplied in three glass vial sizes containing 6 mL, 11 mL and 33 mL of meloxicam. Each vial has a different metered dose pump delivering a dose of 0.25 mg, 0.50 mg, or 1.075 mg, per spray, respectively. Manufactured for Abbott Laboratories; North Chicago, IL 60064 USA; Product of Spain",2014-02-10,2014-02-10,1,https://datadashboard.fda.gov/ora/cd/recalls.htm,2022-02-20
G13,FDA Veterinary Recalls,Event ID #76608 - Class I - Veterinary - Absolute Veterinary Compounding Pharmacy,Incorrect medication dispensed for compounding/compounded veterinary products.;; Methocarbamol Suspension 100 mg/mL Suspension in a 500 mL white plastic bottle. UPC: 12/22/16-12/22/16,2017-05-01,2017-05-01,1,https://datadashboard.fda.gov/ora/cd/recalls.htm,2022-02-20
G13,FDA Veterinary Recalls,Event ID #75116 - Class II - Veterinary - Addiction Foods Llc,"New Zealand Venison & Apple Canned Dog Food are recalled due to  elevated levels of Vitamin A and slight variance in calcium and phosphorous ratios., New Zealand Brushtail & Vegetables Entr¿e, Canned Dog Food, are recalled due to  elevated levels of Vitamin A and slight variance in calcium and phosphorous ratios.;; New Zealand Venison & Apples Entr¿e, canned dog food, Addiction brand, net wt. 13.8 oz/390 g, UPC Code 8 885004 070462, New Zealand Brushtail & Vegetables Entr¿e, Canned Dog Food, net wt. 13.8 oz/390 g, UPC 8 885004 070028
",2016-09-28,2016-09-28,2,https://datadashboard.fda.gov/ora/cd/recalls.htm,2022-02-20
G13,FDA Veterinary Recalls,"Event ID #84786 - Class III - Veterinary - Adisseo Usa, Inc.","The firm was notified by their manufacturer that the product contains Sepiolite  hydrous magnesium silicate , an unapproved ingredient for animal feed sold in the US instead of HSCAS.;; nutriad NUTRI¿ A-Z C Dry 25 Net Weight (kg) Yeast brewers dehydrated for livestock and poultry feeds. Manufactured for: Nutriad Inc. 201 Flanniigan Road Hampshire, IL 60140 Country of orgin: Belgium",2020-03-18,2020-03-18,1,https://datadashboard.fda.gov/ora/cd/recalls.htm,2022-02-20
G13,FDA Veterinary Recalls,"Event ID #63989 - Class III - Veterinary - ADM Alliance Nutrition, Inc.","During an FDA inspection, the ADM Alliance Nutrition Meat Goat Power 16% (80865AZN), was run through the firm's mixer directly after lot # BF23512 of the recalled sheep feed.  The Retention sample was found to have 46.4 ppm copper when the label states 25ppm-35ppm.
;; ADM Alliance Nutrition Meat Goat Power 16%",2013-02-25,2013-02-25,1,https://datadashboard.fda.gov/ora/cd/recalls.htm,2022-02-20
G13,FDA Veterinary Recalls,"Event ID #63968 - Class I - Veterinary - ADM Alliance Nutrition, Inc.","ADM Alliance Nutrition of Bluffton, IN initiated a recall on 12/19/12 for 3 lots of MoorMans¿ ShowTec 18 Elite Lamb DC sold in 50 lb bags.  The recall was initiated in response to a customer complaint stating that 2 of the customers sheep had died of copper toxicosis after consuming MoorMan's¿ ShowTec 18 Elite Lamb DC.;; MoorMan's ShowTec 18 Elite Lamb DC medicated textured grain mix, packaged in 50 lb bags",2013-05-16,2013-05-16,1,https://datadashboard.fda.gov/ora/cd/recalls.htm,2022-02-20
G13,FDA Veterinary Recalls,"Event ID #70843 - Class III - Veterinary - ADM Alliance Nutrition, Inc.","Product may contain elevated levels of chlortetracycline and sulfamethazine.;; ADM Alliance Nutrition Super Stressfighter 10 - 51797AWM, Medicated packaged in plain paper bag Net Weight 50 lb (22.67 kg).  The responsible name on the label is ADM Alliance Nutrition Quincy, IL.",2015-09-17,2015-09-17,1,https://datadashboard.fda.gov/ora/cd/recalls.htm,2022-02-20
G13,FDA Veterinary Recalls,"Event ID #73740 - Class I - Veterinary - ADM Alliance Nutrition, Inc.","ADM Animal Nutrition, Inc. is voluntarily recalling 48,500 pounds of Tyson Swine N5 medicated animal feed, Product G3039AWO10, due to excessive levels of magnesium; which could result in magnesium toxicity causing symptoms of increased water intake, severe, painful scours, and cardiac arrest leading to death in swine.;; Tyson Swine N5 Meal AS; Swine Starter Feed; Bulk product, listed as pounds, 48,500# loaded on trailer",2016-09-30,2016-09-30,1,https://datadashboard.fda.gov/ora/cd/recalls.htm,2022-02-20
G13,FDA Veterinary Recalls,"Event ID #77337 - Class I - Veterinary - ADM Alliance Nutrition, Inc.","ADM Animal Nutrition, a division of Archer Daniels Midland Company, initiated a voluntary recall of 81071AZYE4 21% Lamb Creep HE DC, Lamb Starter Feed, 50 pound poly bags, due to higher than expected levels of copper, which could lead to copper toxicity in sheep.;; 81071AZYE4 21% Lamb Creep HE DC , MEDICATED Lamb Feed, Net Weight 50 lb (22.67 kg), packed in poly bag",2017-10-13,2017-10-13,1,https://datadashboard.fda.gov/ora/cd/recalls.htm,2022-02-20
G13,FDA Veterinary Recalls,"Event ID #77619 - Class I - Veterinary - ADM Alliance Nutrition, Inc.","ADM Animal Nutrition, a division of Archer Daniels Midland Company, initiated a voluntary recall on 06/16/2017, of  ADM Animal Nutrition Starting and Growing Cattle Feed 54783BHB24 Rough-N-Ready"" 14 BT, 50 lb. bags, due to elevated levels of monensin in the feed, which could result in cardiovascular illness or death to cattle. The monensin contamination came from a medicated article that contained 10,000 g/ton of monensin, which was inadvertently added in with the Rough-N-Ready cattle feed.;; ADM Animal Nutrition Rough-N-Ready 14 BT Starting and Growing Cattle Feed 54783BHB24, 50 lb. Poly bags (22.67kg)",2018-02-26,2018-02-26,1,https://datadashboard.fda.gov/ora/cd/recalls.htm,2022-02-20
G13,FDA Veterinary Recalls,"Event ID #77858 - Class I - Veterinary - ADM Alliance Nutrition, Inc.","ADM Animal Nutrition, a division of Archer Daniels Midland Company, initiated a voluntary recall of ADM Animal Nutrition 54783BHB24 Rough-N-Read 14 BT, Starting and Growing Cattle Feed, 50 pound bags, on June 16, 2017, because the feed contained monensin, which can be toxic to cattle at elevated levels and cause cardiovascular issues and possibly death.;; ADM Animal Nutrition 54783BHB24 Rough-N-Ready 14 BT packaged in 50 lb. poly bags",2018-02-26,2018-02-26,1,https://datadashboard.fda.gov/ora/cd/recalls.htm,2022-02-20
G13,FDA Veterinary Recalls,"Event ID #80605 - Class I - Veterinary - ADM Alliance Nutrition, Inc.","product may contain elevated levels of non-protein nitrogen, could harm cattle;; Mintrate 36-15 Breed Right Tub
A Free-Choice Supplement for Beef Cattle on Pasture or Roughage Rations
Product number 54549AAA6H 
Each unit 200 pound plastic tub",2019-10-05,2019-10-05,1,https://datadashboard.fda.gov/ora/cd/recalls.htm,2022-02-20
